#"ID_REF"	"GSM1599181"	"GSM1599182"	"GSM1599183"	"GSM1599187"	"GSM1599188"	"GSM1599189"
#CLASS	Healthy	Healthy	Healthy	TB	TB	TB
"ILMN_1651438"	62.145832	83.270836	110.354164	92.0625	91.145836	85.6875
"ILMN_1651447"	3.8958333	3.8541667	1.0208334	5.0208335	-3.1041667	-2.8958333
"ILMN_1651453"	0.27083334	4.1041665	2.0625	2.0625	-2.7708333	-1.1458334
"ILMN_1651456"	-9.395833	4.2708335	-8.8125	-7.9791665	-4.3541665	-9.020833
"ILMN_1651457"	-0.0625	-1.2291666	-0.5208333	-1.1458334	-1.2291666	5.0208335
"ILMN_1651464"	2.9375	6.5625	16.229166	8.979167	16.4375	3.8541667
"ILMN_1651466"	3.0625	-1.2291666	-0.5208333	3.2291667	1.3541666	11.604167
"ILMN_1651470"	3.4375	-0.3125	10.854167	3.7291667	-1.9375	-2.3125
"ILMN_1651477"	-2.1041667	0.020833334	-8.729167	2.1458333	-5.1041665	-5.9791665
"ILMN_1651486"	27.604166	5.8541665	-2.9791667	0.6041667	8.270833	0.22916667
"ILMN_1651488"	-0.9375	6.8541665	-1.0625	7.7708335	9.4375	3.2291667
"ILMN_1651490"	-2.7708333	1.7291666	9.8125	3.3958333	-1.1458334	2.1458333
"ILMN_1651492"	10.729167	-0.6041667	4.6458335	10.645833	13.1875	-0.7708333
"ILMN_1651495"	-5.7291665	-3.8958333	-8.854167	-3.3958333	-7.9791665	-6.1041665
"ILMN_1651496"	6.3125	57.770832	20.6875	154.39583	93.645836	30.9375
"ILMN_1651498"	15.895833	14.4375	146.8125	18.395834	16.4375	16.4375
"ILMN_1651499"	235.89583	211.8125	314.64584	78.3125	87.8125	117.354164
"ILMN_1651501"	0.6875	2.4791667	11.354167	0.7291667	0.5625	0.3125
"ILMN_1651504"	67.145836	61.770832	69.270836	94.270836	86.6875	63.020832
"ILMN_1651506"	-0.6875	5.6041665	1.3541666	30.4375	32.5625	25.729166
"ILMN_1651507"	15.9375	33.9375	8.9375	19.895834	11.3125	9.770833
"ILMN_1651508"	2.0625	4.2291665	-4.6875	-1.4791666	5.3958335	-0.14583333
"ILMN_1651513"	121.229164	124.5625	49.8125	189.6875	159.6875	125.354164
"ILMN_1651520"	-1.0625	-1.1458334	1.0625	1.5625	5.8125	-0.8125
"ILMN_1651532"	-4.3958335	-6.8958335	7.5625	5.9375	1.3958334	2.1458333
"ILMN_1651535"	-4.0208335	12.0625	-4.1041665	-2.6875	4.4375	-2.1875
"ILMN_1651536"	-0.5208333	-0.8958333	-2.1875	-2.1875	-5.1041665	-11.9375
"ILMN_1651538"	2.0625	4.3125	2.9375	3.0625	-3.3541667	7.3541665
"ILMN_1651543"	-2.4791667	-6.7291665	-4.3541665	-0.9375	-4.5625	-8.479167
"ILMN_1651544"	-1.6458334	1.2708334	7.1875	12.729167	2.6458333	6.2291665
"ILMN_1651547"	0.8125	-1.9791666	-2.8125	8.479167	-2.0625	1.3541666
"ILMN_1651554"	14.020833	8.6875	11.145833	4.8125	0.27083334	-0.020833334
"ILMN_1651557"	4.3125	2.0625	11.729167	18.854166	21.4375	8.0625
"ILMN_1651563"	-4.0208335	-1.8125	-3.2291667	2.9375	-5.3541665	-2.1875
"ILMN_1651565"	4.0625	11.0625	-0.4375	3.3541667	1.4375	2.1458333
"ILMN_1651567"	0.0625	28.9375	9.1875	10.6875	15.9375	0.35416666
"ILMN_1651568"	1.3541666	-5.3541665	-3.0208333	-3.0625	3.0625	2.9375
"ILMN_1651569"	18.6875	7.9791665	9.520833	15.6875	14.0625	15.104167
"ILMN_1651574"	9.5625	-6.3541665	5.1041665	-0.6458333	-1.7708334	7.2708335
"ILMN_1651576"	-5.6041665	-2.1875	-12.145833	-4.3125	-7.8541665	-0.020833334
"ILMN_1651582"	-3.1875	4.9375	12.4375	-2.6041667	-3.5208333	-2.1875
"ILMN_1651584"	1.0208334	-3.2708333	-4.8541665	0.14583333	-3.6875	-3.3541667
"ILMN_1651597"	-3.8541667	-5.5625	-5.5208335	0.35416666	-4.3541665	-2.0625
"ILMN_1651599"	12.3125	1.3541666	17.9375	0.35416666	7.2708335	-4.0208335
"ILMN_1651604"	4.0625	3.1041667	8.354167	6.7708335	9.979167	10.229167
"ILMN_1651606"	2.0208333	-0.9375	-4.0208335	2.9375	14.0625	7.2291665
"ILMN_1651608"	2.9375	-2.3541667	-3.1041667	6.3958335	-0.7708333	1.7291666
"ILMN_1651609"	3.1041667	2.4375	2.5625	6.7708335	1.3958334	5.8125
"ILMN_1651610"	-0.7708333	2.8125	29.395834	7.9791665	2.7291667	18.395834
"ILMN_1651617"	12.354167	16.5625	21.729166	32.395832	38.3125	47.145832
"ILMN_1651624"	11.854167	4.7708335	8.520833	6.1875	3.4375	1.3958334
"ILMN_1651628"	71.1875	84.270836	54.395832	182.85417	143.72917	124.604164
"ILMN_1651636"	12.395833	4.5625	3.8541667	0.6041667	4.0625	12.3125
"ILMN_1651637"	12.3125	-10.604167	8.9375	10.4375	8.104167	5.6041665
"ILMN_1651641"	-3.3958333	-3.4375	-5.1458335	-1.0625	0.5625	-2.8125
"ILMN_1651642"	11.1875	7.8541665	32.5625	15.6875	10.520833	11.3125
"ILMN_1651643"	9.1875	1.1458334	0.35416666	9.1875	5.8125	2.2291667
"ILMN_1651652"	2.8125	31.645834	2.0625	8.020833	1.8541666	-0.39583334
"ILMN_1651656"	-2.8125	-12.9375	-11.9375	-12.520833	0.5208333	-9.604167
"ILMN_1651657"	1.5625	1.8958334	-1.9791666	2.7708333	-4.6458335	5.1875
"ILMN_1651660"	6.7291665	2.6041667	-4.3541665	10.729167	3.2291667	2.3125
"ILMN_1651662"	-5.9791665	-9.4375	-3.3958333	-6.4791665	-4.5625	-9.4375
"ILMN_1651664"	7.5625	1.8958334	30.104166	3.6875	11.729167	4.1041665
"ILMN_1651672"	4.9375	1.5625	-1.1458334	5.1041665	-3.8958333	8.479167
"ILMN_1651680"	11139.8545	11751.0205	7842.771	12030.8545	9923.9375	10590.9375
"ILMN_1651681"	2.8541667	19.354166	-3.2291667	1.1875	-6.1458335	3.6875
"ILMN_1651684"	16.9375	26.9375	11.145833	30.520834	20.979166	38.5625
"ILMN_1651685"	-1.7708334	6.2708335	6.3541665	-8.4375	0.7708333	-5.3958335
"ILMN_1651690"	1.9375	7.7708335	8.020833	12.770833	-0.9375	8.104167
"ILMN_1651692"	195.8125	140.47917	169.5625	229.89583	251.89583	202.4375
"ILMN_1651693"	-4.3958335	6.7708335	7.5625	9.0625	9.895833	7.6041665
"ILMN_1651699"	10.645833	10.854167	3.0625	24.1875	21.020834	36.5625
"ILMN_1651705"	1242.8125	1078.1459	1063.6459	980.0625	1098.3541	1140.6875
"ILMN_1651708"	-1.9375	3.8958333	6.2708335	-0.020833334	2.4375	8.5625
"ILMN_1651710"	-2.0208333	-6.1041665	-0.6041667	-7.6458335	-10.604167	-4.7708335
"ILMN_1651711"	0.6458333	3.0625	-2.9375	2.5625	0.4375	8.479167
"ILMN_1651712"	-1.4375	23.979166	3.6875	1.2291666	9.604167	0.6875
"ILMN_1651715"	4.9375	10.4375	1.1458334	0.7291667	6.7708335	6.7708335
"ILMN_1651717"	8.104167	-7.8541665	-4.4375	-1.1458334	1.3125	1.1041666
"ILMN_1651719"	348.3125	240.52083	310.6875	374.35416	238.72917	302.39584
"ILMN_1651727"	-4.4375	-1.2291666	-9.4375	-2.0625	-4.0208335	0.22916667
"ILMN_1651735"	1203.3125	1202.2291	1072.8959	1149.1041	1233.6875	1065.0209
"ILMN_1651737"	0.4375	5.8125	-4.4791665	-0.4375	-6.8958335	4.7708335
"ILMN_1651741"	19.8125	11.4375	9.5625	8.104167	18.9375	8.1875
"ILMN_1651745"	12.3125	2.1458333	5.2291665	-0.5208333	-0.6875	7.4375
"ILMN_1651752"	86.979164	111.4375	76.5625	77.645836	86.5625	77.020836
"ILMN_1651758"	11.854167	1.9375	0.4375	0.104166664	-5.5625	-3.3958333
"ILMN_1651760"	-6.6875	4.1041665	-3.2291667	6.3541665	5.3541665	2.6041667
"ILMN_1651763"	-4.3958335	-5.1458335	-6.7708335	-5.7291665	1.3541666	-4.6458335
"ILMN_1651767"	52.1875	24.729166	60.729168	93.770836	117.229164	64.145836
"ILMN_1651769"	25.020834	38.729168	9.604167	52.979168	42.145832	36.395832
"ILMN_1651771"	24.770834	0.4375	4.2708335	-4.4375	7.0625	8.0625
"ILMN_1651776"	107.145836	76.5625	334.22916	189.0625	121.145836	174.10417
"ILMN_1651787"	-0.3125	2.3958333	5.3541665	3.1458333	2.1458333	-6.7708335
"ILMN_1651788"	211.9375	163.27083	309.14584	263.97916	319.3125	326.5625
"ILMN_1651789"	-2.4375	-2.7291667	-1.9375	0.104166664	5.2291665	3.2291667
"ILMN_1651792"	5.8125	6.8541665	4.0625	3.4791667	4.1041665	-0.6458333
"ILMN_1651799"	414.39584	680.3542	588.5625	1275.4791	929.6042	771.8958
"ILMN_1651800"	-0.39583334	-3.0208333	7.4791665	15.8125	6.5625	-1.9375
