"EntrezID","Name","CombinedES","Pval"
"9643","MORF4L2","-0.81201","0.0010357"
"2254","FGF9","-0.81196","0.0010357"
"1408","CRY2","-1.1116","0.0010359"
"55904","MLL5","-0.81728","0.0010476"
"10533","ATG7","0.88333","0.0010569"
"1901","S1PR1","-1.4941","0.0010714"
"85012","TCEAL3","-0.80857","0.0010835"
"1955","MEGF9","1.6018","0.0010917"
"79887","PLBD1","1.8229","0.0010931"
"56270","WDR45L","-0.81302","0.0010931"
"23166","STAB1","0.80744","0.0011121"
"130916","MTERFD2","-0.83454","0.0011694"
"26157","GIMAP2","0.85483","0.0011819"
"63901","FAM111A","0.89107","0.001271"
"23020","SNRNP200","-1.2019","0.0012722"
"4940","OAS3","1.0396","0.0013231"
"23569","PADI4","0.79512","0.0013345"
"22927","HABP4","-0.96958","0.0013438"
"7988","ZNF212","-1.3037","0.0014176"
"10425","ARIH2","-1.4709","0.0014176"
"1660","DHX9","-0.78826","0.001519"
"3654","IRAK1","-0.83032","0.0015413"
"91746","YTHDC1","-0.86093","0.0015413"
"51130","ASB3","-1.0157","0.001564"
"3437","IFIT3","1.0926","0.001564"
"23526","HMHA1","-0.78522","0.001564"
"114791","TUBGCP5","-0.7847","0.001564"
"55915","LANCL2","-0.78599","0.001564"
"1622","DBI","1.2085","0.0015778"
"9972","NUP153","-0.78718","0.0016261"
"58986","TMEM8A","0.77954","0.0016268"
"54880","BCOR","-1.316","0.0016502"
"4898","NRD1","1.077","0.0017213"
"10950","BTG3","-0.78552","0.0017374"
"1880","GPR183","-1.4763","0.0017514"
"54509","RHOF","-0.77857","0.0017514"
"9188","DDX21","-0.78392","0.0017514"
"29105","C16orf80","-0.78306","0.0017514"
"51065","RPS27L","1.2007","0.0017745"
"3399","ID3","-1.9782","0.0017877"
"55617","TASP1","-0.77661","0.0018279"
"2153","F5","1.1532","0.0018496"
"80765","STARD5","-0.77679","0.0018496"
"11319","ECD","-0.77258","0.0018604"
"4055","LTBR","0.89038","0.0018737"
"10287","RGS19","0.9074","0.0018737"
"10469","TIMM44","-0.77533","0.0018765"
"10229","COQ7","-0.77613","0.0018948"
"147694","ZNF548","-1.0853","0.0019031"
"2889","RAPGEF1","-1.2276","0.0019031"
"64747","MFSD1","0.77205","0.0019031"
"5016","OVGP1","-1.3479","0.0019383"
"6838","SURF6","-0.82217","0.0019879"
"10291","SF3A1","-0.76655","0.0019879"
"10427","SEC24B","-0.77144","0.0019879"
"5627","PROS1","0.77119","0.0020157"
"55911","APOBR","0.92324","0.0020532"
"1236","CCR7","-1.7333","0.0020816"
"130074","FAM168B","-1.0417","0.0021374"
"9586","CREB5","1.5302","0.002186"
"3178","HNRNPA1","-0.76641","0.0022145"
"6428","SRSF3","-0.75948","0.0022145"
"79626","TNFAIP8L2","1.2069","0.0022261"
"1844","DUSP2","-0.76509","0.0022261"
"55802","DCP1A","-0.89687","0.0022489"
"55692","LUC7L","-1.1104","0.0023317"
"22849","CPEB3","0.90851","0.0023317"
"57404","CYP20A1","-0.76414","0.0023317"
"54941","RNF125","-1.1298","0.0023646"
"6132","RPL8","-0.7548","0.0023884"
"6259","RYK","-1.1753","0.0024652"
"4600","MX2","0.75514","0.0024652"
"118932","ANKRD22","1.3653","0.0025207"
"5610","EIF2AK2","0.75599","0.0025207"
"162972","ZNF550","-0.98975","0.0025882"
"1861","TOR1A","0.75329","0.0026306"
"8874","ARHGEF7","-1.7528","0.0028399"
"3101","HK3","1.6765","0.0028399"
"51460","SFMBT1","-1.0939","0.0028399"
"834","CASP1","1.7378","0.0028399"
"83548","COG3","-0.85373","0.0028399"
"7748","ZNF195","-0.79144","0.0028399"
"10313","RTN3","0.75087","0.0028399"
"51655","RASD1","-0.78191","0.0028399"
"92345","NAF1","-0.74941","0.0028399"
"10758","TRAF3IP2","-0.74671","0.0028508"
"51537","MTFP1","-1.2716","0.0028735"
"8567","MADD","-0.87683","0.002933"
"1520","CTSS","0.74471","0.002957"
"64376","IKZF5","-0.94548","0.0031327"
"220064","ORAOV1","-0.96064","0.0031527"
"2162","F13A1","0.74295","0.0032001"
"6158","RPL28","-0.74148","0.0033213"
"253959","RALGAPA1","-1.1905","0.0033532"
"29062","WDR91","-0.93471","0.0034234"
"127002","ATXN7L2","-0.75901","0.0035431"
"8992","ATP6V0E1","1.8021","0.0036243"
"83716","CRISPLD2","1.2548","0.0036243"
"2553","GABPB1","-0.86075","0.0036243"
"28962","OSTM1","0.73278","0.0036243"
"22909","FAN1","-0.77017","0.0036301"
"4005","LMO2","1.2995","0.0036301"
"10608","MXD4","-1.4636","0.0036301"
"124583","CANT1","0.73411","0.0036301"
"4772","NFATC1","-0.7307","0.0036301"
"131583","FAM43A","-1.4493","0.0036434"
"57728","WDR19","-1.0241","0.0037051"
"55846","ITFG2","-0.90548","0.0037051"
"9962","SLC23A2","-0.76648","0.0037051"
"85369","FAM40A","-0.73097","0.0037152"
"1824","DSC2","0.72727","0.0037643"
"2354","FOSB","-0.87337","0.003771"
"84281","C2orf88","0.73102","0.0037984"
"9236","CCPG1","0.81772","0.0038044"
"9997","SCO2","1.2424","0.0038406"
"56949","XAB2","-0.72463","0.0038933"
"51272","BET1L","-0.72752","0.0039197"
"51343","FZR1","-0.75305","0.0039896"
"8826","IQGAP1","0.80198","0.0040016"
"10045","SH2D3A","-0.72114","0.0042927"
"7750","ZMYM2","-0.74456","0.0043847"
"8685","MARCO","0.81855","0.00442"
"1153","CIRBP","-1.169","0.0044652"
"340205","TREML1","0.71937","0.0044804"
"26873","OPLAH","1.0452","0.0045716"
"51734","MSRB1","1.9509","0.0046678"
"54934","KANSL2","-1.3804","0.0046678"
"92799","SHKBP1","1.0359","0.0046678"
"64794","DDX31","-0.71784","0.0047765"
"10161","LPAR6","0.7165","0.0047884"
"10791","VAMP5","1.6113","0.004876"
"10312","TCIRG1","0.71205","0.0048816"
"4216","MAP3K4","-1.4729","0.0049948"
"51019","CCDC53","0.97309","0.0050196"
"55577","NAGK","0.71078","0.005024"
"116225","ZMYND19","-0.73523","0.0051004"
"79672","FN3KRP","-0.89967","0.0051866"
"713","C1QB","1.2276","0.0052262"
"55133","SRBD1","1.2856","0.0053147"
"8563","THOC5","0.70743","0.0053147"
"84705","GTPBP3","-1.2204","0.0053356"
"10906","TRAFD1","1.4165","0.0053583"
"644128","RPL23AP53","-0.71945","0.005367"
"6125","RPL5","-1.0036","0.0053727"
"23178","PASK","-1.3745","0.0054563"
"3187","HNRNPH1","-1.4115","0.0054563"
"6047","RNF4","-1.0649","0.0055334"
"10326","SIRPB1","1.7137","0.0055951"
"7088","TLE1","-0.70703","0.0056512"
"10939","AFG3L2","-0.8653","0.0057156"
"22955","SCMH1","-0.70042","0.0058726"
"116447","TOP1MT","-0.69911","0.0059756"
"157983","C9orf66","0.69911","0.0059973"
"65005","MRPL9","-0.69936","0.0059973"
"127253","TYW3","-1.1967","0.0060354"
"9447","AIM2","1.4689","0.0060354"
"80895","ILKAP","-1.238","0.0060354"
"57179","KIAA1191","-0.90663","0.0060354"
"285855","RPL7L1","-0.92458","0.0060354"
"3611","ILK","0.93589","0.0060354"
"51496","CTDSPL2","-0.91302","0.0060931"
"57568","SIPA1L2","0.8375","0.0060931"
"113174","SAAL1","-0.93204","0.0061543"
"23529","CLCF1","-0.69747","0.0061543"
"54617","INO80","-0.69918","0.0061746"
"92715","WDR85","-0.69645","0.0061746"
"3176","HNMT","0.87477","0.0061805"
"51643","TMBIM4","1.1735","0.0062623"
"9016","SLC25A14","-0.70091","0.0062623"
"1903","S1PR3","0.74925","0.0062623"
"84875","PARP10","0.77129","0.0062748"
"255231","MCOLN2","-1.126","0.0062956"
"4063","LY9","-1.4538","0.0062956"
"10288","LILRB2","0.92582","0.0062956"
"64581","CLEC7A","0.69652","0.0062956"
"3800","KIF5C","-0.69744","0.0063363"
"6161","RPL32","-0.69412","0.0063363"
"5597","MAPK6","-0.74247","0.0063737"
"57763","ANKRA2","-1.0102","0.0064235"
"6167","RPL37","-0.7349","0.0064243"
"65982","ZSCAN18","-1.084","0.0064789"
"9361","LONP1","-1.2831","0.0064789"
"51669","TMEM66","-0.85829","0.0066097"
"6433","SFSWAP","-0.69122","0.0066097"
"9527","GOSR1","-0.69299","0.0067082"
"26121","PRPF31","-0.69008","0.0067407"
"55856","ACOT13","1.5222","0.0068902"
"319101","KRT73","-0.9263","0.0069174"
"23588","KLHDC2","-0.81254","0.0069433"
"10627","MYL12A","1.0502","0.0070475"
"55720","TSR1","-0.9711","0.0070531"
"146857","SLFN13","-0.94168","0.0071367"
"57007","CXCR7","-1.168","0.0072106"
"3609","ILF3","-1.3976","0.0072106"
"79706","PRKRIP1","-1.1128","0.007263"
"200205","IBA57","-0.80749","0.007263"
"274","BIN1","-0.88377","0.007263"
"9889","ZBED4","-1.0048","0.007263"
"22868","FASTKD2","-0.68723","0.0073454"
"6272","SORT1","1.6998","0.0074077"
"841","CASP8","-0.68897","0.0074265"
"10020","GNE","-1.205","0.0074418"
"22916","NCBP2","-0.98079","0.0074418"
"27089","UQCRQ","0.83027","0.0074835"
"55661","DDX27","-1.0217","0.0076133"
